Well_id,BOREHOLE-DEPTH.M,CALI_COMP.INCHES,GR_COMP.GAPI,NPHI_COMP.V/V,RHOB_COMP.G/C3,RT_COMP.OHMM,SP_COMP.MV,TVDSS_COMP.M,TVD_COMP.M
Gabo-13,1973.4276,15.7155,115.8627,0.422743,2.3401,4.1183,0.0367,1959.3982,1973.1982
Gabo-13,1973.58,15.8252,114.1446,0.421182,2.3434,3.9798,0.0747,1959.5506,1973.3506
Gabo-13,1973.7324,16.0382,112.939,0.437777,2.3416,3.84,0.0267,1959.7029,1973.5029
Gabo-13,1973.8848,16.2224,110.96,0.468721,2.3321,3.699,0.0258,1959.8553,1973.6553
Gabo-13,1974.0372,16.319,108.118,0.508965,2.324,3.5558,0.0672,1960.0077,1973.8077
Gabo-13,1974.1896,16.3267,105.5061,0.559013,2.3249,3.4107,0.0977,1960.16,1973.96
Gabo-13,1974.342,16.242,104.9533,0.607364,2.33,3.2726,0.0941,1960.3124,1974.1124
Gabo-13,1974.4944,16.1913,106.572,0.63116,2.323,3.1633,0.0756,1960.4648,1974.2648
Gabo-13,1974.6468,16.4802,107.5309,0.654638,2.3001,3.0911,0.1692,1960.6171,1974.4171
Gabo-13,1974.7992,16.9673,107.4299,0.713117,2.2731,3.0497,0.3229,1960.7695,1974.5695
Gabo-13,1974.9516,17.0953,108.1444,0.799806,2.2559,3.0302,0.3943,1960.9219,1974.7219
Gabo-13,1975.104,16.6756,106.8523,0.855618,2.2485,3.031,0.5252,1961.0742,1974.8742
Gabo-13,1975.2564,16.3951,107.1501,0.880866,2.2481,3.062,0.6374,1961.2266,1975.0266
Gabo-13,1975.4088,16.3167,109.7507,0.853338,2.2477,3.1412,0.5873,1961.379,1975.179
Gabo-13,1975.5612,16.1218,112.6911,0.733778,2.2429,3.2939,0.3695,1961.5313,1975.3313
Gabo-13,1975.7136,16.0999,114.9233,0.579778,2.2474,3.5482,0.048,1961.6837,1975.4837
Gabo-13,1975.866,16.0969,111.8338,0.467253,2.2715,3.9052,-0.3746,1961.836,1975.636
Gabo-13,1976.0184,16.0573,106.1349,0.39935,2.3039,4.3553,-0.9061,1961.9884,1975.7884
Gabo-13,1976.1708,16.0529,102.3418,0.353683,2.3238,4.9031,-1.4341,1962.1408,1975.9408
Gabo-13,1976.3232,16.2004,99.5802,0.331848,2.3214,5.5673,-1.779,1962.2931,1976.0931
Gabo-13,1976.4756,16.2782,95.172,0.326857,2.315,6.3265,-2.1235,1962.4455,1976.2455
Gabo-13,1976.628,16.2036,88.6971,0.315534,2.3206,7.1169,-2.4801,1962.5979,1976.3979
Gabo-13,1976.7804,16.019,81.3227,0.289191,2.341,7.8367,-2.7379,1962.7502,1976.5502
Gabo-13,1976.9328,15.8814,77.8531,0.268345,2.3664,8.3683,-2.9439,1962.9026,1976.7026
Gabo-13,1977.0852,15.9131,78.6213,0.272895,2.3737,8.7382,-3.1022,1963.055,1976.855
Gabo-13,1977.2376,16.1665,82.7504,0.297168,2.3526,9.0178,-3.0969,1963.2073,1977.0073
Gabo-13,1977.39,16.5562,88.0041,0.323314,2.3166,9.2415,-2.8992,1963.3597,1977.1597
Gabo-13,1977.5424,16.7643,88.0496,0.334307,2.2937,9.4593,-2.6627,1963.5121,1977.3121
Gabo-13,1977.6948,16.7752,82.1075,0.326273,2.2938,9.7803,-2.543,1963.6644,1977.4644
Gabo-13,1977.8472,16.7287,76.8792,0.301437,2.3085,10.2297,-2.419,1963.8168,1977.6168
Gabo-13,1977.9996,16.6542,75.2186,0.262734,2.3334,10.697,-2.2167,1963.9696,1977.7696
Gabo-13,1978.152,16.507,76.791,0.224197,2.3681,11.0072,-2.0304,1964.1215,1977.9215
Gabo-13,1978.3044,16.554,77.3908,0.216233,2.3968,11.0348,-1.8931,1964.2739,1978.0739
Gabo-13,1978.4568,16.7146,75.824,0.236754,2.3956,10.7174,-1.7108,1964.4263,1978.2263
Gabo-13,1978.6092,16.8554,75.5268,0.269205,2.3639,10.1187,-1.4524,1964.5786,1978.3786
Gabo-13,1978.7616,16.8979,80.9891,0.303652,2.32,9.3097,-1.1821,1964.731,1978.531
Gabo-13,1978.914,16.8581,85.673,0.335567,2.2796,8.2743,-0.9543,1964.8834,1978.6834
Gabo-13,1979.0664,16.7955,85.2519,0.364215,2.2404,7.2653,-0.6746,1965.0357,1978.8357
Gabo-13,1979.2188,16.7439,81.1815,0.388371,2.2045,6.4898,-0.2798,1965.1881,1978.9881
Gabo-13,1979.3712,16.7109,75.8556,0.402669,2.1808,5.9725,0.0732,1965.3405,1979.1405
Gabo-13,1979.5236,16.6056,72.5841,0.401413,2.1697,5.6667,0.0979,1965.4928,1979.2928
Gabo-13,1979.676,16.5263,71.1401,0.394326,2.1558,5.5257,0.0183,1965.6452,1979.4452
Gabo-13,1979.8284,16.3599,69.165,0.384954,2.138,5.4815,-0.0148,1965.7976,1979.5976
Gabo-13,1979.9808,15.9819,65.106,0.370963,2.1288,5.4755,-0.0571,1965.9499,1979.7499
Gabo-13,1980.1332,15.3945,58.3706,0.352906,2.1363,5.4906,-0.0888,1966.1023,1979.9023
Gabo-13,1980.2856,14.9606,51.4936,0.329747,2.1501,5.5317,-0.0065,1966.2547,1980.0547
Gabo-13,1980.438,14.723,48.6161,0.308335,2.1555,5.5647,0.1476,1966.407,1980.207
Gabo-13,1980.5904,14.6092,51.1712,0.296571,2.1483,5.5502,0.2143,1966.5594,1980.3594
Gabo-13,1980.7428,14.563,57.8667,0.296756,2.1356,5.4847,0.1321,1966.7118,1980.5118
Gabo-13,1980.8952,14.5464,64.6201,0.306018,2.1298,5.4069,0.1311,1966.8641,1980.6641
Gabo-13,1981.0476,14.5556,72.002,0.318047,2.1346,5.3258,0.1385,1967.0165,1980.8165
Gabo-13,1981.2,14.5809,79.6261,0.327915,2.1463,5.2377,0.0246,1967.1689,1980.9689
Gabo-13,1981.3524,14.5987,84.8458,0.339564,2.1606,5.1514,-0.1231,1967.3212,1981.1212
Gabo-13,1981.5048,14.572,85.2816,0.363514,2.1753,5.0761,-0.1558,1967.4736,1981.2736
Gabo-13,1981.6572,14.481,81.144,0.377168,2.1884,5.0138,-0.1362,1967.626,1981.426
Gabo-13,1981.8096,14.338,74.9615,0.361413,2.1953,4.964,-0.0997,1967.7784,1981.5784
Gabo-13,1981.962,14.1707,69.9412,0.327461,2.1914,4.9296,0.0679,1967.9307,1981.7307
Gabo-13,1982.1144,14.1333,69.2637,0.309148,2.1795,4.9215,0.4755,1968.0831,1981.8831
Gabo-13,1982.2668,14.1037,66.4539,0.306444,2.171,4.9405,0.906,1968.2355,1982.0355
